CutOff,Modulus,VTR,Bio,xval,Line
0,0.5 MPa,1.23705729,0.980717275,0,0
0,0.5 MPa,1.30959984,0.835864567,0,0
0,0.5 MPa,0.94056089,0.718740963,100,300
0,0.5 MPa,1.208300172,0.518337193,200,600
0,0.5 MPa,1.23681588,0.897925849,300,900
0,0.5 MPa,1.053021648,0.858924988,400,1200
0,0.5 MPa,1.185885,0.682320853,500,1500
0,0.5 MPa,1.29638096,0.883173828,600,1800
0,0.5 MPa,1.60303169,0.828771789,700,2100
0,0.5 MPa,0.91885635,0.274395838,800,2400
0,0.5 MPa,1.12829694,1.023727182,900,2700
0,0.5 MPa,1.57401912,1.193887301,1000,3000
0,0.5 MPa,0.956762801,0.734803487,1100,3300
0,0.5 MPa,1.512915418,0.995180818,1200,3600
0,0.5 MPa,1.6856521,1.168709372,1300,3900
0,0.5 MPa,1.171324355,0.503091704,1400,4200
0,0.5 MPa,1.85825263,1.428070269,1500,4500
100,0.5 MPa,1.236230295,0.980717275,0,0.5
100,0.5 MPa,1.3068274,0.835864567,100,0.5
100,0.5 MPa,0.93721127,0.718740963,100,300
100,0.5 MPa,1.192723416,0.518337193,200,600
100,0.5 MPa,1.23584924,0.897925849,300,900
100,0.5 MPa,1.051530081,0.858924988,400,1200
100,0.5 MPa,1.184486904,0.682320853,500,1500
100,0.5 MPa,1.29562958,0.883173828,600,1800
100,0.5 MPa,1.5987803,0.828771789,700,2100
100,0.5 MPa,0.881110875,0.274395838,800,2400
100,0.5 MPa,1.127962888,1.023727182,900,2700
100,0.5 MPa,1.57095228,1.193887301,1000,3000
100,0.5 MPa,0.955904903,0.734803487,1100,3300
100,0.5 MPa,1.50724601,0.995180818,1200,3600
100,0.5 MPa,1.67894195,1.168709372,1300,3900
100,0.5 MPa,1.148976085,0.503091704,1400,4200
100,0.5 MPa,1.85665193,1.428070269,1500,4500
200,0.5 MPa,1.232286165,0.980717275,0,0.5
200,0.5 MPa,1.29712386,0.835864567,100,0.5
200,0.5 MPa,0.930871804,0.718740963,200,0.5
200,0.5 MPa,1.158877148,0.518337193,200,600
200,0.5 MPa,1.232466,0.897925849,300,900
200,0.5 MPa,1.046525319,0.858924988,400,1200
200,0.5 MPa,1.176622614,0.682320853,500,1500
