Slope,Cutoff,RMSE
5000,0,0.633745288
5000,250,0.637175349
5000,500,0.64446355
5000,750,0.6533452
5000,1000,0.671745897
5000,1050,0.681388675
5000,1100,0.710444782
5000,1150,0.758188697
5000,1200,0.879398203
5000,1250,1.041708671
5000,1300,1.12960245
5000,1350,1.174729753
5000,1400,1.185980819
5000,1450,1.188360187
5000,1500,1.189009668
7500,0,0.358848971
7500,250,0.363947904
7500,500,0.374680822
7500,750,0.387726726
7500,1000,0.41472263
7500,1050,0.428923857
7500,1100,0.472254659
7500,1150,0.544676532
7500,1200,0.731367969
7500,1250,0.980668007
7500,1300,1.111250486
7500,1350,1.172354266
7500,1400,1.185633662
7500,1450,1.188320122
7500,1500,1.18900912
10000,0,0.122831577
10000,250,0.12646637
10000,500,0.135058272
10000,750,0.146807061
10000,1000,0.173929929
10000,1050,0.189384124
10000,1100,0.241013248
10000,1150,0.334546633
10000,1200,0.585743927
10000,1250,0.922249061
10000,1300,1.094880035
10000,1350,1.170571718
10000,1400,1.185390021
10000,1450,1.188294434
10000,1500,1.189008828
12500,0,0.246126244
12500,250,0.237902767
12500,500,0.221125158
12500,750,0.201291833
12500,1000,0.161259244
12500,1050,0.141220428
12500,1100,0.099108539
12500,1150,0.142271753
12500,1200,0.443424106
12500,1250,0.865740603
12500,1300,1.079788193
12500,1350,1.169137055
12500,1400,1.185204515
12500,1450,1.188276143
12500,1500,1.189008646
15000,0,0.515018652
15000,250,0.504251364
15000,500,0.48202884
15000,750,0.455224494
15000,1000,0.3990614
15000,1050,0.369048967
15000,1100,0.279606537
15000,1150,0.146429574
15000,1200,0.307848076
15000,1250,0.810832086
15000,1300,1.065609809
15000,1350,1.167931551
15000,1400,1.185056012
15000,1450,1.188262261
15000,1500,1.189008521
17500,0,0.793149308
17500,250,0.78039005
17500,500,0.754060218
17500,750,0.722277499
17500,1000,0.655733213
17500,1050,0.620179832
17500,1100,0.512961519
17500,1150,0.33971354
17500,1200,0.192575033
17500,1250,0.757407447
17500,1300,1.052127885
17500,1350,1.166888471
17500,1400,1.184932987
17500,1450,1.188251258
17500,1500,1.189008431
20000,0,1.073360557
20000,250,1.058685552
20000,500,1.02842655
20000,750,0.991909497
20000,1000,0.915538885
20000,1050,0.874767125
20000,1100,0.751433211
20000,1150,0.549593639
20000,1200,0.152528627
20000,1250,0.705472983
20000,1300,1.039201927
20000,1350,1.16596651
20000,1400,1.184828483
20000,1450,1.18824226
20000,1500,1.189008362
8750,0,0.228107779
8750,250,0.233649956
8750,500,0.245383546
8750,750,0.259757297
8750,1000,0.289716903
8750,1050,0.305609077
8750,1100,0.354918979
8750,1150,0.43891531
8750,1200,0.65823217
8750,1250,0.951188834
8750,1300,1.102873206
8750,1350,1.17140867
8750,1400,1.185502611
8750,1450,1.188306065
8750,1500,1.189008955
11250,0,0.133925083
11250,250,0.129082342
11250,500,0.120285187
11250,750,0.112103594
11250,1000,0.104600912
11250,1050,0.106687434
11250,1100,0.139193047
11250,1150,0.233370373
11250,1200,0.514049794
11250,1250,0.89378137
11250,1300,1.087201887
11250,1350,1.169820032
11250,1400,1.185291642
11250,1450,1.188284601
11250,1500,1.189008727
10225,0,0.112532258
10225,250,0.114961607
10225,500,0.121419012
10225,665,0.127358029
10225,750,0.131183445
10225,1000,0.15568878
10225,1050,0.170353824
10225,1100,0.2212844
10225,1150,0.316010415
10225,1200,0.572774494
10225,1250,0.917091595
10225,1300,1.093476391
10225,1350,1.170430675
10225,1400,1.185371363
10225,1450,1.188292546
10225,1500,1.189008808
5000,665,0.650081144
7500,665,0.382930535
8750,665,0.254455637
10000,665,0.142326507
11250,665,0.114730631
12500,665,0.208485892
15000,665,0.465041444
17500,665,0.733926512
20000,665,1.005295856
