Slope,Cut,VTR,Bio,,Row,Col
5000,0,0.516397676,1.194790894,,1,1
5000,0,0.477706983,1.056210934,,2,1
5000,0,0.495698258,0.989896255,,3,1
5000,0,0.429380241,1.180808981,,4,1
5000,0,0.546746642,1.009465523,,5,1
5000,0,0.604880879,1.317663113,,6,1
5000,0,0.559603651,1.355631228,,7,1
5000,0,0.475098873,1.030730227,,8,1
5000,0,0.362917806,0.866063142,,9,1
5000,0,0.638152062,1.167505415,,10,1
5000,0,0.458720158,0.956977746,,11,1
5000,0,0.656764353,1.346064108,,12,1
5000,0,0.606644817,1.16722576,,13,1
5000,0,0.764042312,1.594921729,,14,1
5000,0,0.60650762,1.267440702,,15,1
5000,0,0.44432242,0.89488259,,16,1
5000,0,0.662110466,1.275021429,,17,1
5000,0,0.574516447,1.204906071,,18,1
5000,0,0.649222801,1.324232334,,19,1
5000,0,0.66632394,1.392693068,,20,1
5000,250,0.513270697,1.194790894,,1,2
5000,250,0.474656204,1.056210934,,2,2
5000,250,0.4926022,0.989896255,,3,2
5000,250,0.42696978,1.180808981,,4,2
5000,250,0.543610314,1.009465523,,5,2
5000,250,0.601991516,1.317663113,,6,2
5000,250,0.556477079,1.355631228,,7,2
5000,250,0.473360055,1.030730227,,8,2
5000,250,0.360702392,0.866063142,,9,2
5000,250,0.63407842,1.167505415,,10,2
5000,250,0.455998224,0.956977746,,11,2
5000,250,0.652937083,1.346064108,,12,2
5000,250,0.603762297,1.16722576,,13,2
5000,250,0.759752812,1.594921729,,14,2
5000,250,0.602791779,1.267440702,,15,2
5000,250,0.44175211,0.89488259,,16,2
5000,250,0.657969407,1.275021429,,17,2
5000,250,0.571215326,1.204906071,,18,2
5000,250,0.645932361,1.324232334,,19,2
5000,250,0.663008514,1.392693068,,20,2
5000,500,0.506459718,1.194790894,,1,3
5000,500,0.468548866,1.056210934,,2,3
5000,500,0.486147508,0.989896255,,3,3
5000,500,0.421806897,1.180808981,,4,3
5000,500,0.536853208,1.009465523,,5,3
5000,500,0.595321605,1.317663113,,6,3
5000,500,0.549594771,1.355631228,,7,3
5000,500,0.468538477,1.030730227,,8,3
5000,500,0.355935575,0.866063142,,9,3
5000,500,0.62598536,1.167505415,,10,3
5000,500,0.450219832,0.956977746,,11,3
5000,500,0.645025759,1.346064108,,12,3
5000,500,0.596867486,1.16722576,,13,3
5000,500,0.750604571,1.594921729,,14,3
5000,500,0.595023173,1.267440702,,15,3
5000,500,0.436385071,0.89488259,,16,3
5000,500,0.64936292,1.275021429,,17,3
5000,500,0.563884029,1.204906071,,18,3
5000,500,0.638286858,1.324232334,,19,3
5000,500,0.655018313,1.392693068,,20,3
5000,665,0.501340211,1.194790894,,1,4
5000,665,0.463691443,1.056210934,,2,4
5000,665,0.481449093,0.989896255,,3,4
5000,665,0.417806038,1.180808981,,4,4
5000,665,0.531327939,1.009465523,,5,4
5000,665,0.590049577,1.317663113,,6,4
5000,665,0.544372741,1.355631228,,7,4
5000,665,0.464500393,1.030730227,,8,4
5000,665,0.352353063,0.866063142,,9,4
5000,665,0.619789948,1.167505415,,10,4
5000,665,0.445629127,0.956977746,,11,4
5000,665,0.638789077,1.346064108,,12,4
5000,665,0.591440062,1.16722576,,13,4
5000,665,0.743345214,1.594921729,,14,4
5000,665,0.588821917,1.267440702,,15,4
5000,665,0.432106596,0.89488259,,16,4
5000,665,0.642628022,1.275021429,,17,4
5000,665,0.557881612,1.204906071,,18,4
5000,665,0.63194868,1.324232334,,19,4
5000,665,0.648888687,1.392693068,,20,4
5000,750,0.498365468,1.194790894,,1,5
5000,750,0.460963506,1.056210934,,2,5
5000,750,0.478677401,0.989896255,,3,5
5000,750,0.415386679,1.180808981,,4,5
5000,750,0.528118509,1.009465523,,5,5
5000,750,0.586984903,1.317663113,,6,5
5000,750,0.541330616,1.355631228,,7,5
5000,750,0.462105992,1.030730227,,8,5
5000,750,0.350166965,0.866063142,,9,5
5000,750,0.616337805,1.167505415,,10,5
5000,750,0.442981204,0.956977746,,11,5
5000,750,0.635083918,1.346064108,,12,5
5000,750,0.588122867,1.16722576,,13,5
5000,750,0.739117796,1.594921729,,14,5
5000,750,0.585216401,1.267440702,,15,5
5000,750,0.429647595,0.89488259,,16,5
5000,750,0.638751478,1.275021429,,17,5
5000,750,0.55432699,1.204906071,,18,5
5000,750,0.628258378,1.324232334,,19,5
5000,750,0.645129085,1.392693068,,20,5
5000,1000,0.484113438,1.194790894,,1,6
5000,1000,0.446036053,1.056210934,,2,6
5000,1000,0.464297953,0.989896255,,3,6
5000,1000,0.404244933,1.180808981,,4,6
5000,1000,0.510325443,1.009465523,,5,6
5000,1000,0.572078772,1.317663113,,6,6
5000,1000,0.526222571,1.355631228,,7,6
5000,1000,0.449048934,1.030730227,,8,6
5000,1000,0.339893726,0.866063142,,9,6
5000,1000,0.595105995,1.167505415,,10,6
5000,1000,0.426593326,0.956977746,,11,6
5000,1000,0.613263744,1.346064108,,12,6
5000,1000,0.569277828,1.16722576,,13,6
5000,1000,0.715053975,1.594921729,,14,6
5000,1000,0.565851793,1.267440702,,15,6
5000,1000,0.416793079,0.89488259,,16,6
5000,1000,0.615357766,1.275021429,,17,6
5000,1000,0.535389872,1.204906071,,18,6
5000,1000,0.606856039,1.324232334,,19,6
5000,1000,0.619615424,1.392693068,,20,6
5000,1050,0.478305209,1.194790894,,1,7
5000,1050,0.439822613,1.056210934,,2,7
5000,1050,0.457381087,0.989896255,,3,7
5000,1050,0.399725849,1.180808981,,4,7
5000,1050,0.501894099,1.009465523,,5,7
5000,1050,0.565754467,1.317663113,,6,7
