Slope,Cutoff,RMSE
5000,0,0.619316651
5000,250,0.621761513
5000,500,0.63719478
5000,750,0.664436279
5000,1000,0.702738556
5000,1050,0.712432117
5000,1100,0.731525613
5000,1150,0.774065342
5000,1200,0.886917048
5000,1250,1.055591597
5000,1300,1.153934204
5000,1350,1.180103634
5000,1400,1.187151434
5000,1450,1.188433037
5000,1500,1.188601626
7500,0,0.337775029
7500,250,0.341365677
7500,500,0.364003967
7500,750,0.404224101
7500,1000,0.461056985
7500,1050,0.475475733
7500,1100,0.504372524
7500,1150,0.569722864
7500,1200,0.745830392
7500,1250,1.004439798
7500,1300,1.146056422
7500,1350,1.179002789
7500,1400,1.186975771
7500,1450,1.188419662
7500,1500,1.188601148
10000,0,0.109970481
10000,250,0.111198995
10000,500,0.124879993
10000,750,0.162538362
10000,1000,0.228416633
10000,1050,0.246102971
10000,1100,0.282960991
10000,1150,0.368796367
10000,1200,0.608106107
10000,1250,0.956378259
10000,1300,1.139380253
10000,1350,1.178205394
10000,1400,1.186849421
10000,1450,1.188410774
10000,1500,1.188600871
10225,0,0.10548783
10225,250,0.105485682
10225,500,0.112939465
10225,665,0.130629911
10225,750,0.144951424
10225,1000,0.208962987
10225,1050,0.226621768
10225,1100,0.263803092
10225,1150,0.351052598
10225,1200,0.595900248
10225,1250,0.952174383
10225,1300,1.13881952
10225,1350,1.178143243
10225,1400,1.18683963
10225,1450,1.188410109
10225,1500,1.188600852
12500,0,0.278491533
12500,250,0.272193413
12500,500,0.235156959
12500,750,0.174708906
12500,1000,0.112302267
12500,1050,0.104811931
12500,1100,0.109656487
12500,1150,0.181479251
12500,1200,0.4748863
12500,1250,0.91066923
12500,1300,1.133430209
12500,1350,1.177579272
12500,1400,1.186751286
12500,1450,1.188404265
12500,1500,1.188600689
15000,0,0.55721088
15000,250,0.549273888
15000,500,0.501605157
15000,750,0.419170724
15000,1000,0.30638854
15000,1050,0.278057552
15000,1100,0.22405781
15000,1150,0.122834225
15000,1200,0.350082588
15000,1250,0.867032286
15000,1300,1.127975247
15000,1350,1.177063229
15000,1400,1.186671432
15000,1450,1.188399214
15000,1500,1.188600559
17500,0,0.843132702
17500,250,0.83378803
17500,500,0.77750928
17500,750,0.679675202
17500,1000,0.544016976
17500,1050,0.509459517
17500,1100,0.441093639
17500,1150,0.286900864
17500,1200,0.245747677
17500,1250,0.825394246
17500,1300,1.122884009
17500,1350,1.176623867
17500,1400,1.18660437
17500,1450,1.188395135
17500,1500,1.188600462
20000,0,1.130806733
20000,250,1.120085294
20000,500,1.055479526
20000,750,0.943018791
20000,1000,0.786670206
20000,1050,0.746779302
20000,1100,0.667148703
20000,1150,0.484254349
20000,1200,0.196663957
20000,1250,0.785801045
20000,1300,1.11807401
20000,1350,1.176240957
20000,1400,1.186546743
20000,1450,1.188391747
20000,1500,1.188600386
8750,0,0.205328809
8750,250,0.209073238
8750,500,0.233389668
8750,750,0.27797824
8750,1000,0.342444122
8750,1050,0.358927603
8750,1100,0.392349671
8750,1150,0.468600646
8750,1200,0.676517801
8750,1250,0.980084684
8750,1300,1.142606563
8750,1350,1.178576987
8750,1400,1.186908152
8750,1450,1.188414832
8750,1500,1.188600994
11250,0,0.154572688
11250,250,0.149970446
11250,500,0.125980757
11250,750,0.104096715
11250,1000,0.131489
11250,1050,0.14589841
11250,1100,0.181011757
11250,1150,0.271672286
11250,1200,0.540783722
11250,1250,0.933253717
11250,1300,1.13633219
11250,1350,1.177875677
11250,1400,1.186797595
11250,1450,1.188407295
11250,1500,1.188600772
5000,665,0.653649928
7500,665,0.388318381
8750,665,0.260276293
10000,665,0.146574659
11250,665,0.109595807
12500,665,0.198303813
15000,665,0.452003565
17500,665,0.718630911
20000,665,0.987771596
