Slope,Cut,VTR,Bio,,Row,Col
5000,0,0.523585737,1.194790894,,1,1
5000,0,0.486674859,1.056210934,,2,1
5000,0,0.506309859,0.989896255,,3,1
5000,0,0.436523047,1.180808981,,4,1
5000,0,0.550789193,1.009465523,,5,1
5000,0,0.613693031,1.317663113,,6,1
5000,0,0.565509887,1.355631228,,7,1
5000,0,0.474883136,1.030730227,,8,1
5000,0,0.487062418,0.866063142,,9,1
5000,0,0.642865471,1.167505415,,10,1
5000,0,0.464302375,0.956977746,,11,1
5000,0,0.660575067,1.346064108,,12,1
5000,0,0.615106139,1.16722576,,13,1
5000,0,0.776503067,1.594921729,,14,1
5000,0,0.612652396,1.267440702,,15,1
5000,0,0.446675679,0.89488259,,16,1
5000,0,0.669332197,1.275021429,,17,1
5000,0,0.576899411,1.204906071,,18,1
5000,0,0.653667522,1.324232334,,19,1
5000,0,0.669894705,1.392693068,,20,1
5000,250,0.52146059,1.194790894,,1,2
5000,250,0.483890808,1.056210934,,2,2
5000,250,0.50395515,0.989896255,,3,2
5000,250,0.435025352,1.180808981,,4,2
5000,250,0.548646425,1.009465523,,5,2
5000,250,0.611516715,1.317663113,,6,2
5000,250,0.563449961,1.355631228,,7,2
5000,250,0.473828928,1.030730227,,8,2
5000,250,0.484915872,0.866063142,,9,2
5000,250,0.639425324,1.167505415,,10,2
5000,250,0.462152064,0.956977746,,11,2
5000,250,0.657457,1.346064108,,12,2
5000,250,0.612699675,1.16722576,,13,2
5000,250,0.772640269,1.594921729,,14,2
5000,250,0.609834746,1.267440702,,15,2
5000,250,0.444797289,0.89488259,,16,2
5000,250,0.665272153,1.275021429,,17,2
5000,250,0.574052103,1.204906071,,18,2
5000,250,0.651393473,1.324232334,,19,2
5000,250,0.667793779,1.392693068,,20,2
5000,500,0.507308209,1.194790894,,1,3
5000,500,0.468542446,1.056210934,,2,3
5000,500,0.489743974,0.989896255,,3,3
5000,500,0.423216644,1.180808981,,4,3
5000,500,0.532800367,1.009465523,,5,3
5000,500,0.597502263,1.317663113,,6,3
5000,500,0.548516605,1.355631228,,7,3
5000,500,0.465591524,1.030730227,,8,3
5000,500,0.472079259,0.866063142,,9,3
5000,500,0.618914899,1.167505415,,10,3
5000,500,0.44837858,0.956977746,,11,3
5000,500,0.63902842,1.346064108,,12,3
5000,500,0.598879615,1.16722576,,13,3
5000,500,0.751840282,1.594921729,,14,3
5000,500,0.590085686,1.267440702,,15,3
5000,500,0.431077604,0.89488259,,16,3
5000,500,0.644549995,1.275021429,,17,3
5000,500,0.557748755,1.204906071,,18,3
5000,500,0.636163209,1.324232334,,19,3
5000,500,0.651491614,1.392693068,,20,3
5000,665,0.491176216,1.194790894,,1,4
5000,665,0.454127656,1.056210934,,2,4
5000,665,0.473663822,0.989896255,,3,4
5000,665,0.409521883,1.180808981,,4,4
5000,665,0.516970793,1.009465523,,5,4
5000,665,0.58247412,1.317663113,,6,4
5000,665,0.53266867,1.355631228,,7,4
5000,665,0.454322209,1.030730227,,8,4
5000,665,0.457150995,0.866063142,,9,4
5000,665,0.60073235,1.167505415,,10,4
5000,665,0.434102292,0.956977746,,11,4
5000,665,0.618372949,1.346064108,,12,4
5000,665,0.584639931,1.16722576,,13,4
5000,665,0.730172481,1.594921729,,14,4
5000,665,0.572239063,1.267440702,,15,4
5000,665,0.418710235,0.89488259,,16,4
5000,665,0.624831701,1.275021429,,17,4
5000,665,0.536949812,1.204906071,,18,4
5000,665,0.616815847,1.324232334,,19,4
5000,665,0.633962418,1.392693068,,20,4
5000,750,0.480055735,1.194790894,,1,5
5000,750,0.443870933,1.056210934,,2,5
5000,750,0.465317143,0.989896255,,3,5
5000,750,0.402144973,1.180808981,,4,5
5000,750,0.504862043,1.009465523,,5,5
5000,750,0.570687759,1.317663113,,6,5
5000,750,0.523070108,1.355631228,,7,5
5000,750,0.445889077,1.030730227,,8,5
5000,750,0.447183252,0.866063142,,9,5
5000,750,0.587758397,1.167505415,,10,5
5000,750,0.426570221,0.956977746,,11,5
5000,750,0.607575182,1.346064108,,12,5
5000,750,0.573524929,1.16722576,,13,5
5000,750,0.716798014,1.594921729,,14,5
5000,750,0.558797304,1.267440702,,15,5
5000,750,0.409483438,0.89488259,,16,5
5000,750,0.610384366,1.275021429,,17,5
5000,750,0.526748864,1.204906071,,18,5
5000,750,0.605801058,1.324232334,,19,5
5000,750,0.620040508,1.392693068,,20,5
5000,1000,0.446193521,1.194790894,,1,6
5000,1000,0.412152032,1.056210934,,2,6
5000,1000,0.432486191,0.989896255,,3,6
5000,1000,0.375518333,1.180808981,,4,6
5000,1000,0.467066237,1.009465523,,5,6
5000,1000,0.53156532,1.317663113,,6,6
5000,1000,0.483891807,1.355631228,,7,6
5000,1000,0.413934765,1.030730227,,8,6
5000,1000,0.416619449,0.866063142,,9,6
5000,1000,0.547506468,1.167505415,,10,6
5000,1000,0.393564361,0.956977746,,11,6
5000,1000,0.565423456,1.346064108,,12,6
5000,1000,0.536317319,1.16722576,,13,6
5000,1000,0.66395009,1.594921729,,14,6
5000,1000,0.518269333,1.267440702,,15,6
5000,1000,0.381608202,0.89488259,,16,6
5000,1000,0.564096829,1.275021429,,17,6
5000,1000,0.486098704,1.204906071,,18,6
5000,1000,0.553465179,1.324232334,,19,6
5000,1000,0.573526984,1.392693068,,20,6
5000,1050,0.437161058,1.194790894,,1,7
5000,1050,0.403089895,1.056210934,,2,7
5000,1050,0.422189083,0.989896255,,3,7
5000,1050,0.370775178,1.180808981,,4,7
5000,1050,0.460430928,1.009465523,,5,7
5000,1050,0.52422838,1.317663113,,6,7
5000,1050,0.476634158,1.355631228,,7,7
5000,1050,0.407133706,1.030730227,,8,7
5000,1050,0.408229514,0.866063142,,9,7
5000,1050,0.538494513,1.167505415,,10,7
5000,1050,0.38629509,0.956977746,,11,7
5000,1050,0.556723837,1.346064108,,12,7
5000,1050,0.522885152,1.16722576,,13,7
5000,1050,0.65261584,1.594921729,,14,7
5000,1050,0.506081275,1.267440702,,15,7
5000,1050,0.374314178,0.89488259,,16,7
5000,1050,0.554682243,1.275021429,,17,7
5000,1050,0.47457793,1.204906071,,18,7
5000,1050,0.541633829,1.324232334,,19,7
5000,1050,0.551751971,1.392693068,,20,7
5000,1100,0.424753296,1.194790894,,1,8
